,team,name,position,price_trend,count,mean,std,min,25%,50%,75%,max,relative_deviation,mode
156,Real Madrid,Daniel Carvajal,DEF,upward,8.0,5.875,2.799872446074234,2.0,3.75,6.0,8.0,10.0,47.65740333743377,8.0
21,Athletic,Óscar De Marcos,DEF,upward,22.0,4.7727272727272725,2.671397319075475,1.0,2.0,5.0,7.0,10.0,55.972134304438526,2.0
237,Barcelona,Íñigo Martínez,DEF,upward,24.0,6.208333333333333,3.488853887636363,1.0,3.0,6.0,8.25,14.0,56.19630423038438,3.0
23,Villarreal,Juan Foyth,DEF,upward,13.0,5.923076923076923,3.4024877776302263,1.0,3.0,6.0,8.0,11.0,57.444598843107705,2.0
6,Athletic,Unai Núñez,DEF,upward,7.0,5.857142857142857,3.38765264987284,1.0,4.0,6.0,7.5,11.0,57.83797207099971,6.0
53,Sevilla,Nemanja Gudelj,DEF,upward,25.0,4.52,2.7404379212089442,0.0,2.0,5.0,6.0,10.0,60.62915754887045,6.0
348,Getafe,Omar Alderete,DEF,upward,28.0,5.5,3.3719979789985595,-1.0,3.75,5.5,7.25,13.0,61.30905416361018,6.0
197,Mallorca,Pablo Maffeo,DEF,upward,25.0,4.76,2.9619813188697415,-1.0,2.0,5.0,6.0,11.0,62.22649829558281,6.0
152,Real Madrid,Raúl Asencio,DEF,upward,17.0,4.764705882352941,2.969204686542885,0.0,2.0,5.0,6.0,12.0,62.31664156941857,2.0
363,Real Sociedad,Nayef Aguerd,DEF,upward,20.0,5.35,3.34467369189629,1.0,2.75,6.0,8.0,12.0,62.51726526908953,3.0
297,Betis,Marc Bartra,DEF,upward,19.0,5.7894736842105265,3.7055356093346052,-1.0,3.5,6.0,8.0,13.0,64.00470597941592,6.0
22,Athletic,Yeray Álvarez,DEF,upward,18.0,7.0,4.563280553698699,2.0,3.0,6.5,9.75,18.0,65.1897221956957,3.0
407,Rayo,Abdul Mumin,DEF,upward,24.0,5.333333333333333,3.4974110507589775,-2.0,3.0,4.5,8.25,11.0,65.57645720173083,4.0
20,Athletic,Dani Vivian,DEF,upward,25.0,6.8,4.4628092796652945,-1.0,4.0,5.0,10.0,18.0,65.62954823037198,5.0
190,Mallorca,Martin Valjent,DEF,upward,25.0,5.4,3.570714214271425,-1.0,3.0,5.0,8.0,12.0,66.12433730132268,5.0
208,Mallorca,Antonio Raíllo,DEF,upward,29.0,6.137931034482759,4.189477788213113,-3.0,4.0,6.0,9.0,13.0,68.25553699897768,5.0
93,Espanyol,Marash Kumbulla,DEF,upward,28.0,5.035714285714286,3.5222272294791908,0.0,3.0,4.5,7.0,14.0,69.94493789036692,4.0
290,Betis,Diego Javier Llorente,DEF,upward,30.0,5.5,3.8840966641616586,0.0,3.0,5.0,7.75,17.0,70.61993934839379,3.0
4,Athletic,Aitor Paredes,DEF,upward,19.0,5.526315789473684,3.921003571261821,0.0,3.0,5.0,7.0,16.0,70.95149319426153,3.0
47,Sevilla,Loïc Badé,DEF,upward,26.0,5.038461538461538,3.594226139026527,-2.0,3.0,6.0,7.0,11.0,71.33578596541199,6.0
423,Rayo,Andrei Ratiu,DEF,upward,29.0,5.862068965517241,4.248732062384145,0.0,2.0,5.0,9.0,14.0,72.47837047596484,4.0
441,Celta,Sergio Carreira,DEF,upward,18.0,3.9444444444444446,2.858881357170858,-1.0,2.0,4.5,5.75,9.0,72.47868229447245,5.0
255,Barcelona,Jules Koundé,DEF,upward,31.0,5.161290322580645,3.8043551726369995,-1.0,2.0,5.0,7.0,14.0,73.70938146984187,2.0
178,Atlético,José María Giménez,DEF,upward,25.0,5.12,3.7784476530271878,-1.0,3.0,5.0,9.0,12.0,73.79780572318725,3.0
116,Valencia,José Gayà,DEF,upward,17.0,5.0,3.69120576505835,-2.0,2.0,6.0,8.0,10.0,73.824115301167,2.0
323,Leganés,Jorge Sáenz,DEF,upward,16.0,5.4375,4.114506855829343,-1.0,2.75,5.0,7.0,12.0,75.66909160145919,3.0
260,Barcelona,Pau Cubarsí,DEF,upward,30.0,5.033333333333333,3.8906017027184117,-2.0,2.0,4.5,7.0,13.0,77.29672257056447,2.0
294,Betis,Héctor Bellerín,DEF,upward,7.0,4.714285714285714,3.817254061682111,-2.0,3.0,5.0,7.5,9.0,80.97205585386295,-2.0
123,Valencia,César Tárrega,DEF,upward,28.0,4.964285714285714,4.032113156638403,-4.0,2.0,5.0,7.25,12.0,81.22242329919087,5.0
170,Atlético,Clément Lenglet,DEF,upward,19.0,5.157894736842105,4.206650262708862,-2.0,3.0,5.0,6.5,16.0,81.5575050933351,3.0
192,Mallorca,Johan Mojica,DEF,upward,29.0,4.931034482758621,4.242060099954457,-5.0,2.0,5.0,8.0,13.0,86.02779223683864,8.0
153,Real Madrid,Éder Militão,DEF,upward,12.0,6.083333333333333,5.350587619952399,-3.0,2.0,5.5,8.25,16.0,87.95486498551888,2.0
446,Celta,Marcos Alonso,DEF,upward,25.0,5.68,5.0474415961620265,-1.0,1.0,5.0,9.0,17.0,88.86340838313427,1.0
328,Leganés,Sergio González,DEF,upward,30.0,4.7,4.276237469616453,-4.0,2.25,4.5,6.0,18.0,90.98377594928624,3.0
161,Real Madrid,Aurélien Tchouaméni,MED,upward,26.0,5.115384615384615,2.0065278084676144,2.0,4.0,5.0,6.0,9.0,39.225355654254116,5.0
245,Barcelona,Pedri González,MED,upward,30.0,7.4,3.568057522344423,2.0,5.25,7.0,8.75,16.0,48.2169935451949,7.0
143,Real Madrid,Dani Ceballos,MED,upward,16.0,4.9375,2.7681221071332818,2.0,2.0,4.5,7.25,10.0,56.063232549534824,2.0
45,Villarreal,Álex Baena,MED,upward,27.0,7.481481481481482,4.273085449562092,0.0,4.0,7.0,10.5,15.0,57.11549858325567,7.0
179,Atlético,Pablo Barrios,MED,upward,25.0,5.28,3.1559467676119004,-2.0,2.0,6.0,7.0,12.0,59.771719083558715,2.0
147,Real Madrid,Federico Valverde,MED,upward,29.0,7.241379310344827,4.339644261373383,0.0,5.0,6.0,8.0,18.0,59.928420752299104,6.0
357,Real Sociedad,Martín Zubimendi,MED,upward,30.0,5.2,3.1447822138287718,1.0,3.0,5.0,7.0,14.0,60.476581035168685,6.0
2,Athletic,Álex Berenguer,MED,upward,30.0,6.033333333333333,3.7644739828847396,2.0,3.0,5.0,8.0,19.0,62.39459640140452,2.0
378,Real Sociedad,Luka Sucic,MED,upward,22.0,5.2272727272727275,3.2940323845781103,1.0,2.25,5.0,6.0,12.0,63.01627170497254,2.0
127,Valencia,Enzo Barrenechea,MED,upward,24.0,4.416666666666667,2.7962189792128482,0.0,2.0,4.5,5.5,11.0,63.31061839727204,5.0
315,Leganés,Seydouba Cisse,MED,upward,28.0,4.464285714285714,2.834733547569204,-1.0,2.0,4.5,7.0,11.0,63.49803146555018,5.0
88,Osasuna,Rubén García,MED,upward,30.0,5.466666666666667,3.481313003722167,1.0,3.0,4.5,7.0,13.0,63.6825549461372,3.0
356,Getafe,Luis Milla,MED,upward,27.0,6.111111111111111,3.945136571033069,-1.0,3.0,5.0,9.0,17.0,64.55678025326841,9.0
375,Real Sociedad,Sergio Gómez,MED,upward,30.0,6.033333333333333,3.899454721680556,0.0,3.0,6.0,8.0,19.0,64.63184621569982,2.0
15,Athletic,Nico Williams,MED,upward,27.0,6.592592592592593,4.281078757467016,1.0,3.0,7.0,8.0,19.0,64.93771148966823,7.0
