,team,name,position,price_trend,count,mean,std,min,25%,50%,75%,max,relative_deviation,mode
0,Espanyol,Edu Expósito,MED,downward,9.0,1.4444444444444444,1.0137937550497031,0.0,1.0,2.0,2.0,3.0,70.18572150344099,2.0
1,Espanyol,Carlos Romero,DEF,upward,24.0,3.5833333333333335,4.595996998018721,-4.0,0.75,3.0,5.0,15.0,128.26038134005734,5.0
2,Espanyol,Marash Kumbulla,DEF,upward,26.0,4.846153846153846,3.5854406445212024,0.0,3.0,4.0,5.75,14.0,73.98528314091371,4.0
3,Espanyol,Javi Puado,DEL,upward,26.0,5.230769230769231,4.429967876250954,0.0,2.0,4.5,8.25,20.0,84.69056234009177,2.0
4,Espanyol,Jofre Carreras,MED,upward,27.0,4.2592592592592595,3.311896883760267,1.0,2.0,3.0,4.5,16.0,77.75757901002366,3.0
5,Espanyol,Ángel Fortuño,POR,downward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Espanyol,Omar El Hilali,DEF,upward,27.0,3.2962962962962963,3.65655170486763,-3.0,2.0,3.0,5.0,14.0,110.9290966645236,4.0
7,Espanyol,Roberto Fernández,DEL,upward,9.0,4.111111111111111,2.4720661623652207,1.0,2.0,3.0,6.0,8.0,60.13133908455943,2.0
8,Espanyol,Antoniu Roca,MED,upward,17.0,2.823529411764706,2.651303785820456,0.0,1.0,2.0,4.0,10.0,93.90034241447447,2.0
9,Espanyol,Alex Kral,MED,upward,28.0,3.607142857142857,2.4242491883022517,-1.0,2.0,3.0,4.0,10.0,67.20690819055747,3.0
10,Espanyol,Alejo Véliz,DEL,upward,22.0,2.0,1.8771812708978117,-1.0,1.0,2.0,2.75,7.0,93.85906354489059,1.0
11,Espanyol,Joan Garcia,POR,upward,28.0,6.857142857142857,4.4780475715327155,-1.0,3.75,6.0,9.25,18.0,65.30486041818544,6.0
12,Espanyol,Álvaro Aguado,MED,upward,13.0,2.1538461538461537,1.5730095277394138,0.0,2.0,2.0,2.0,6.0,73.0325852164728,2.0
13,Espanyol,Leandro Cabrera,DEF,upward,24.0,4.25,4.627422984584494,-2.0,1.75,3.5,5.0,19.0,108.8805408137528,5.0
14,Espanyol,Walid Cheddira,DEL,upward,18.0,2.2777777777777777,2.321398046197353,0.0,1.0,1.5,3.0,8.0,101.91503617451794,1.0
15,Espanyol,Sergi Gómez,DEF,upward,11.0,2.5454545454545454,2.3393860888547815,-1.0,2.0,2.0,3.5,7.0,91.90445349072355,2.0
16,Espanyol,Fernando Calero,DEF,upward,13.0,3.3846153846153846,3.3301266627177397,1.0,2.0,2.0,3.0,11.0,98.39010594393322,2.0
17,Espanyol,Pablo Ramón,DEF,downward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Espanyol,Álvaro Tejero,DEF,upward,23.0,3.6956521739130435,3.982173716688089,-2.0,1.5,2.0,4.5,13.0,107.75293586332475,2.0
19,Espanyol,Urko González de Zarate,MED,upward,8.0,3.625,3.6620642110310255,0.0,0.0,3.5,5.75,9.0,101.02246099395933,0.0
20,Espanyol,Pol Lozano,MED,upward,21.0,2.7142857142857144,2.326861773781527,0.0,1.0,2.0,4.0,8.0,85.7264864024773,1.0
21,Espanyol,Brian Oliván,DEF,upward,17.0,2.411764705882353,2.3994484660389084,-4.0,2.0,3.0,4.0,6.0,99.48932664063767,4.0
22,Espanyol,Fernando Pacheco,POR,downward,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Espanyol,José Gragera,MED,upward,10.0,2.1,1.7919573407620817,0.0,1.0,2.0,2.75,5.0,85.3313019410515,2.0
24,Espanyol,Pere Milla,MED,downward,12.0,1.1666666666666667,0.9374368665610923,-1.0,1.0,1.0,2.0,2.0,80.35173141952218,1.0
25,Villarreal,Juan Foyth,DEF,upward,11.0,5.545454545454546,3.327570776516598,1.0,2.5,6.0,7.5,11.0,60.005374658496024,2.0
26,Villarreal,Yéremi Pino,MED,upward,25.0,3.72,2.965355515504563,1.0,2.0,3.0,4.0,11.0,79.71385794367106,1.0
27,Villarreal,Denis Suárez,MED,upward,15.0,3.066666666666667,2.250925735484551,1.0,2.0,2.0,4.0,8.0,73.39975224406145,2.0
28,Villarreal,Logan Costa,DEF,upward,22.0,3.9545454545454546,4.509009739529161,-3.0,1.25,3.0,5.0,16.0,114.02093594211674,5.0
29,Villarreal,Nicolas Pépé,DEL,upward,19.0,3.8947368421052633,3.1428001817576856,0.0,2.0,2.0,6.0,11.0,80.6935181802649,2.0
30,Villarreal,Ilias Akhomach,DEL,upward,11.0,4.636363636363637,2.6934263410283665,0.0,3.0,4.0,5.5,10.0,58.093509316298096,3.0
31,Villarreal,Pape Gueye,MED,upward,25.0,4.72,3.5534021256630477,0.0,2.0,5.0,6.0,15.0,75.28394334031881,5.0
