id,team,name,position,count,mean,std,min,25%,50%,75%,max,relative_deviation,mode
0,Villarreal,Juan Foyth,DEF,9,5,3.31662479,1,2,5,7,11,66.33249581,2
1,Villarreal,Yéremi Pino,MED,23,3.869565217,3.034713523,1,2,3,4.5,11,78.42518093,2
2,Villarreal,Denis Suárez,MED,14,3.142857143,2.315736894,1,2,2,4,8,73.68253754,2
3,Villarreal,Logan Costa,DEF,20,4.05,4.729248299,-3,1,3.5,5,16,116.7715629,5
4,Villarreal,Nicolas Pépé,DEL,18,4.111111111,3.084856539,0,2,2.5,6,11,75.03705096,2
5,Villarreal,Ilias Akhomach,DEL,11,4.636363636,2.693426341,0,3,4,5.5,10,58.09350932,3
6,Villarreal,Pape Gueye,MED,24,4.791666667,3.61132478,0,2,5,6.25,15,75.36677802,5
7,Villarreal,Alfonso Pedraza,DEF,2,2.5,0.707106781,2,2.25,2.5,2.75,3,28.28427125,2
8,Villarreal,Kiko Femenia,DEF,21,3.428571429,2.580143961,-1,2,3,5,9,75.25419885,5
9,Villarreal,Raúl Albiol,DEF,15,2.8,2.077085871,-2,2,3,3.5,8,74.18163824,3
10,Villarreal,Pau Navarro,DEF,10,3.1,2.131770261,0,1.5,3,4.5,7,68.7667826,3
11,Villarreal,Sergi Cardona,DEF,25,5.04,4.868949236,-2,2,4,6,17,96.60613564,1
12,Villarreal,Thierno Barry,DEL,25,4.44,4.619523785,0,1,3,7,18,104.0433285,1
13,Villarreal,Santi Comesaña,MED,24,4.416666667,3.682115019,0,2,3,5.25,13,83.36864194,3
14,Villarreal,Eric Bailly,DEF,10,1.6,2.796823595,-4,0.25,2,3,6,174.8014747,2
15,Villarreal,Ayoze Pérez,DEL,19,6.526315789,4.401621179,1,2,6,10.5,15,67.44419549,2
16,Villarreal,Diego Conde,POR,20,5.7,3.278317926,0,3.5,6.5,7,12,57.51434957,7
17,Villarreal,Gerard Moreno,DEL,12,5.916666667,3.579190699,1,2.75,6,9,11,60.49336393,2
18,Villarreal,Dani Parejo,MED,24,4.333333333,4.300320177,0,2,3,4.25,18,99.23815793,2
19,Villarreal,Willy Kambwala,DEF,9,4.111111111,3.218867986,-2,3,4,5,9,78.29678885,4
20,Villarreal,Luiz Junior,POR,7,5.571428571,3.77964473,1,3,5,8,11,67.83977721,1
21,Villarreal,Tajon Buchanan,MED,4,1.75,0.957427108,1,1,1.5,2.25,3,54.71012044,1
22,Villarreal,Álex Baena,MED,24,7.708333333,4.467069525,0,4,7,11.25,15,57.95117222,7
23,Osasuna,Abel Bretones,DEF,25,3.64,2.497999199,0,2,3,5,9,68.62635163,2
24,Osasuna,Lucas Torró,MED,24,4.166666667,3.679161845,0,1,3,5.25,14,88.29988429,1
25,Osasuna,Pablo Ibáñez,MED,17,2.529411765,2.348341092,0,1,2,3,8,92.84139199,1
26,Osasuna,Juan Cruz,DEF,17,2.823529412,3.004897962,-2,1,2,5,9,106.4234695,1
